Time [s],easting [m],northing [m],altitude [m],local_rssi [dBm],remote_rssi[dBm]
0:01:41.221470,590707.4695726117,6136614.149580589,71.33221036410276,-69.1,-67.0
0:01:42.221004,590707.5071270373,6136616.332234398,72.97818380246345,-68.6,-69.1
0:01:43.221522,590707.2671744267,6136617.518431062,73.54117627034353,-70.7,-69.6
0:01:44.221347,590707.0754734599,6136618.516374794,73.98716966353925,-71.2,-70.2
0:01:45.221481,590706.6128859513,6136620.354785769,74.64016039349616,-69.6,-69.1
0:01:46.222165,590706.5839028994,6136621.4562629275,74.91914825806002,-73.3,-69.6
0:01:47.221163,590706.4714150219,6136623.535643904,75.22712687944434,-72.3,-73.8
0:01:48.221183,590706.3982978953,6136624.625081761,75.33011605412959,-74.4,-71.7
0:01:49.222155,590706.4269987852,6136626.930006134,75.52108828653567,-79.1,-77.0
0:01:50.221321,590706.6159410996,6136628.225208003,75.56306809974191,-78.1,-78.1
0:01:51.220844,590706.7229527445,6136629.496461549,75.60505036552459,-74.9,-74.9
0:01:52.221465,590707.0270737757,6136631.974028492,75.51201326715935,-72.3,-73.3
0:01:53.222884,590707.3318806314,6136634.418213423,75.34397653952576,-69.1,-69.6
0:01:54.220962,590707.4970733434,6136635.635002791,75.1999578978708,-66.5,-68.1
0:01:55.220890,590707.6099644843,6136636.928641352,75.06593974184275,-70.7,-68.6
0:01:56.221040,590707.97635666,6136638.227491187,74.8999148017227,-72.8,-70.2
0:01:57.221365,590708.3511039016,6136640.661981975,74.49087632719603,-78.6,-70.2
0:01:58.221389,590708.7697558107,6136643.119639481,73.99683641451075,-75.4,-75.9
0:01:59.222201,590709.0087104081,6136644.449265805,73.69281448985085,-80.7,-73.8
0:02:00.222918,590709.5135704349,6136647.031148205,72.99777083090063,-77.5,-78.1
0:02:01.456964,590709.9700172337,6136649.500714915,72.31472977019811,-81.2,-79.6
0:02:02.222356,590710.2114873205,6136650.707940492,71.90370921080421,-84.4,-81.2
0:02:03.221844,590710.4334872247,6136651.937029925,71.59168891079214,-81.2,-84.9
0:02:04.221194,590710.6113531971,6136653.154080026,71.23566992179798,-75.9,-77.0
0:02:05.493095,590711.0911155036,6136656.648274925,70.23661621996311,-81.2,-75.9
0:02:06.222888,590711.1999548118,6136657.830509863,69.85659946771827,-85.9,-83.3
0:02:07.221097,590711.2932129087,6136658.845443719,69.44658509046076,-79.1,-82.3
0:02:08.221552,590711.4020520789,6136660.027678666,69.14256833725304,-74.9,-77.0
0:02:09.221237,590711.6437753588,6136662.147737771,68.51653705860608,-75.4,-74.9
0:02:10.220925,590711.6806820574,6136663.128117013,68.17452457953702,-78.1,-74.9
0:02:11.221316,590711.783208954,6136665.234182467,67.57149715420013,-78.1,-76.5
0:02:12.221333,590711.8429491618,6136666.337483697,67.24848262637539,-78.6,-79.1
0:02:13.221437,590711.8200986905,6136668.374179315,66.69345933759348,-82.3,-80.2
0:02:15.190921,590711.7327550075,6136671.38916959,66.0084262790473,-82.3,-81.7
0:02:15.749288,590711.6813943164,6136672.345470118,65.80441642021138,-78.1,-81.7
0:02:16.436511,590711.5901786988,6136673.39000771,65.63640658266371,-73.8,-73.8
0:02:17.221885,590711.5071306591,6136674.345656808,65.48139757119608,-73.3,-72.8
0:02:18.221309,590711.4403499633,6136675.435224948,65.3533865564416,-73.3,-72.8
0:02:19.220275,590711.4107045208,6136677.494045004,65.07336318167417,-75.4,-74.4
0:02:20.221517,590711.378356314,6136678.450736405,64.93635281196255,-77.5,-75.9
0:02:21.223391,590711.383346647,6136679.441591579,64.82534105068561,-77.5,-75.9
0:02:22.221170,590711.2933003693,6136681.354453239,64.59532098806179,-76.5,-76.5
0:02:23.221595,590711.234001003,6136682.388514937,64.47231042371168,-77.5,-76.5
0:02:24.223669,590711.137846082,6136684.290118972,64.22229065326702,-77.5,-77.0
0:02:25.222809,590711.0740393649,6136685.2350316,64.07528125387404,-78.1,-77.5
0:02:26.221521,590710.8771714623,6136687.101169009,63.857264569007434,-77.5,-77.0
0:02:27.221834,590710.7887012594,6136688.01217845,63.73425622082725,-78.1,-77.5
0:02:28.222542,590710.7061364691,6136689.869533684,63.50523660569567,-78.6,-78.6
0:02:29.221709,590710.6556910432,6136690.781324849,63.40822723895491,-78.6,-78.6
0:02:30.221385,590710.4604247493,6136692.569570846,63.229211422556524,-79.1,-79.1
0:02:31.562055,590710.2560760418,6136694.491214754,63.029194279628115,-83.8,-80.2
0:02:34.325023,590709.9044160079,6136698.335675177,62.648158463398005,-86.5,-88.1
0:02:35.222718,590709.7718127868,6136699.234645303,62.585151423591654,-86.5,-85.9
0:02:36.222566,590709.7840556836,6136700.1811213875,62.51213998388214,-81.7,-84.9
0:02:37.221490,590709.6627803949,6136702.071077002,62.38212100471084,-82.8,-81.7
0:02:38.511142,590709.5367690288,6136703.883010896,62.19010306627748,-83.8,-84.9
0:02:39.729879,590709.4152651108,6136705.784093872,62.00808396003241,-84.9,-84.9
0:02:41.113183,590709.2183983838,6136707.650231392,61.85206726187813,-84.9,-84.9
0:02:41.814869,590709.1471109556,6136708.650650532,61.85505740120681,-85.4,-84.9
0:02:43.198723,590708.9491006318,6136710.572424813,61.95804007795456,-85.9,-85.4
0:02:44.584194,590708.5410405162,6136712.534409138,62.12202785229852,-87.0,-88.1
