Time [s], roll [deg], pitch [deg], yaw [deg], pos_x [m], pos_y [m], pos_z [m], pos_raw_x [m], pos_raw_y [m], pos_raw_z [m], position_initialized [b], position_raw_initialized [b], status 
443.716884,10.38581534868873,-13.92592445533707,47.55680942046232,590710.151923102,6136575.576509301,58.828590776012156,-25.788976097945124,36.52836822718382,-50.222743324728484,False,True,AUTO.LOITER
443.81712,9.880310660158655,-14.494487314285953,48.21602303924849,590710.1691059727,6136575.66591893,58.883589274403775,-25.788976097945124,36.52836822718382,-50.222743324728484,False,True,AUTO.LOITER
443.917262,9.770543190041591,-13.04339639804551,46.83250062818086,590710.1799512248,6136575.755198277,58.9275879423536,-25.7917210921878,36.66189639084041,-50.32274481405905,False,True,AUTO.LOITER
444.017514,11.209376449895258,-13.039251959104552,45.12173175220518,590710.1964478499,6136575.877989946,58.94558606838936,-25.7917210921878,36.66189639084041,-50.32274481405905,False,True,AUTO.LOITER
444.116936,12.872930912593578,-14.660887581268002,43.986410339634894,590710.2197395874,6136575.978657205,58.96658427309215,-25.872576265013777,36.894007257185876,-50.35974538566464,False,True,AUTO.LOITER
444.216937,13.592083983627399,-17.343782561266586,45.31096736875149,590710.2301273411,6136576.090191245,58.99958269279642,-25.872576265013777,36.894007257185876,-50.35974538566464,False,True,AUTO.LOITER
444.316906,11.800097684473048,-17.354238117427126,46.39752431863598,590710.22783986,6136576.201464717,59.04358145161915,-25.807208692189306,37.10685998760164,-50.22874960897846,False,True,AUTO.LOITER
444.417073,10.672732377014126,-14.912140682736354,47.44727895651532,590710.2194435098,6136576.301480557,59.089580504117464,-25.807208692189306,37.10685998760164,-50.22874960897846,False,True,AUTO.LOITER
444.516892,8.740392070899942,-14.035326515376429,49.233817917687745,590710.2051670393,6136576.3791114185,59.12857997441127,-25.652656963211484,37.29928201716393,-50.14975595794972,False,True,AUTO.LOITER
444.616993,9.779410466681636,-13.358010288142733,49.02478209759777,590710.2096746713,6136576.468260481,59.147578811899145,-25.652656963211484,37.29928201716393,-50.14975595794972,False,True,AUTO.LOITER
444.717006,10.77245619646124,-13.195864761570064,48.83227989700086,590710.2331951531,6136576.557800392,59.15757714069893,-25.75840510823764,37.508617046289146,-50.34175560312825,False,True,AUTO.LOITER
444.817034,11.191786737185287,-14.16263572767385,48.998182302201656,590710.2562581372,6136576.669595001,59.17057522125596,-25.75840510823764,37.508617046289146,-50.34175560312825,False,True,AUTO.LOITER
444.917112,9.727315045915686,-14.954648417329611,48.78976337189194,590710.2795498683,6136576.770262263,59.19557342592833,-25.72632689087186,37.798709781840444,-50.2927598474932,False,True,AUTO.LOITER
445.017046,8.621820438218021,-12.783738972587804,48.8360332867294,590710.2967327305,6136576.859671892,59.23457192427925,-25.72632689087186,37.798709781840444,-50.2927598474932,False,True,AUTO.LOITER
445.116916,8.20511112287576,-12.522551084509358,47.85200307758587,590710.3139155918,6136576.949081521,59.27157042262702,-25.699900047155097,38.055290190503,-50.2367635499771,False,True,AUTO.LOITER
445.217269,9.981275892600426,-10.197330938955426,45.41073983009137,590710.3310984524,6136577.038491151,59.28456892097168,-25.699900047155097,38.055290190503,-50.2367635499771,False,True,AUTO.LOITER
445.316944,11.466309186776941,-10.572421879054469,43.981190355169296,590710.3543901794,6136577.139158414,59.28856712562934,-25.582459062105045,38.20242112316191,-50.21176838518301,False,True,AUTO.LOITER
445.417071,12.74689210394165,-18.812994505895745,44.45967933044035,590710.3837907724,6136577.251083306,59.296565036598594,-25.582459062105045,38.20242112316191,-50.21176838518301,False,True,AUTO.LOITER
